date,competitor,channel,activity_type,impact_level,details
2022-12-16,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2022-12-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2022-12-20,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-12-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2022-12-23,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2022-12-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2022-12-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2022-12-27,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2022-12-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2023-01-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2023-01-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2023-01-09,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2023-01-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2023-02-09,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2023-02-13,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2023-02-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2023-02-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2023-02-22,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2023-02-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2023-02-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2023-03-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2023-03-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2023-03-15,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-03-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2023-03-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2023-03-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2023-04-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2023-04-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2023-04-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2023-04-22,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2023-04-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2023-04-28,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2023-04-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2023-05-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2023-05-02,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2023-05-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2023-05-04,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2023-05-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2023-05-08,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2023-05-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2023-05-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2023-05-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2023-05-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2023-05-23,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2023-05-27,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2023-05-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2023-06-06,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2023-06-10,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2023-06-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2023-06-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2023-06-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2023-06-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2023-06-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2023-06-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2023-06-21,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-06-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2023-06-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2023-07-10,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-07-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2023-07-20,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2023-07-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2023-07-28,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2023-07-28,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-08-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2023-08-07,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2023-08-10,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-08-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2023-08-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2023-08-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2023-08-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2023-08-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2023-08-31,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2023-09-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2023-09-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2023-09-15,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-09-16,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2023-09-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2023-09-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2023-10-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2023-10-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2023-10-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2023-10-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2023-11-05,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-11-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2023-11-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2023-11-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2023-11-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2023-11-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2023-11-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2023-11-26,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2023-11-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2023-12-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2023-12-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2023-12-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2023-12-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2023-12-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2023-12-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2023-12-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2023-12-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2023-12-31,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2024-01-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2024-01-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2024-01-16,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2024-01-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2024-01-27,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2024-02-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2024-02-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2024-02-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2024-02-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2024-02-09,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2024-02-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2024-02-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2024-02-13,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-02-20,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2024-02-23,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2024-02-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2024-03-01,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-03-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2024-03-10,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2024-03-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2024-03-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2024-03-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2024-03-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2024-03-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2024-03-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2024-03-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 10% vs prior week
2024-04-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2024-04-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2024-04-07,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-04-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2024-04-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2024-04-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2024-04-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2024-04-20,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-04-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2024-04-23,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2024-04-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2024-05-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2024-05-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2024-05-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2024-05-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2024-05-16,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2024-05-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2024-05-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2024-05-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2024-05-31,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2024-06-02,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2024-06-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2024-06-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2024-06-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2024-06-22,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-06-29,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2024-07-04,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2024-07-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2024-07-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2024-07-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2024-07-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2024-07-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2024-07-20,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2024-07-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2024-07-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2024-08-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2024-08-03,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-08-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2024-08-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2024-08-10,BrandX,google_search,aggressive_bidding,medium,Impression share lost 10% vs prior week
2024-08-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2024-08-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2024-08-18,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-08-20,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-08-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2024-08-24,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-08-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2024-09-01,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-09-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2024-09-04,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2024-09-04,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-06,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-07,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2024-09-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2024-09-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2024-09-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2024-09-14,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-16,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-09-16,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2024-09-17,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-18,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2024-09-19,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2024-09-21,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-22,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-23,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2024-09-24,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-25,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-26,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-27,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-28,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2024-09-29,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-09-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2024-09-30,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-01,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-02,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-04,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2024-10-05,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2024-10-09,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-10,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2024-10-12,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-13,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-14,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2024-10-19,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-20,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-21,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-22,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-10-24,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-25,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-10-26,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2024-10-27,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-28,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-10-29,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-11-03,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-11-06,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2024-11-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2024-11-07,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-11-07,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-11-10,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2024-11-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2024-11-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2024-11-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2024-11-23,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-11-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2024-11-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2024-11-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2024-12-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2024-12-08,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2024-12-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2024-12-11,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-12-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2024-12-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2024-12-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2024-12-20,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2024-12-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2024-12-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2025-01-02,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2025-01-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2025-01-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2025-01-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2025-01-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2025-01-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2025-01-19,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2025-01-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2025-01-26,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2025-01-29,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2025-01-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2025-02-02,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2025-02-06,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2025-02-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2025-02-11,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2025-02-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2025-02-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2025-02-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2025-02-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2025-02-22,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2025-02-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2025-02-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2025-02-28,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2025-03-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-03-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-03-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2025-03-08,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2025-03-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2025-03-16,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2025-03-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2025-03-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2025-03-20,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2025-04-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2025-04-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2025-04-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2025-04-10,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2025-04-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2025-04-15,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2025-04-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2025-04-18,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2025-04-20,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2025-04-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2025-04-23,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-04-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2025-05-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2025-05-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2025-05-12,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2025-05-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2025-05-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2025-05-20,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2025-05-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2025-05-24,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2025-05-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2025-05-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2025-05-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2025-05-31,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2025-06-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2025-06-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2025-06-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2025-06-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2025-06-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2025-06-23,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2025-06-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2025-06-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2025-06-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2025-07-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 10% vs prior week
2025-07-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2025-07-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2025-07-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2025-07-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2025-07-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-07-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2025-07-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2025-07-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2025-08-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2025-08-04,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2025-08-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2025-08-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2025-08-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
