incident_id,date,channel,anomaly_type,severity,root_cause,resolution,similarity_score
INC-2025-106,2025-01-25,direct_mail,Response Rate Drop,high,Creative execution (envelope design) performed poorly vs control.,Ran NCOA update on mailing list before next drop.,0.92
INC-2025-105,2025-01-27,google_search,Donation Surge Mis-Attribution,medium,Crisis-driven direct traffic inflating conversion rates vs actual ad performance.,Separated branded vs non-branded search segmentation in reporting.,0.88
INC-2025-229,2025-01-30,ooh,Low Impressions,critical,Construction blocked visibility of 3 billboard locations.,Negotiated replacement locations with vendor.,0.86
INC-2025-256,2025-02-17,programmatic,IVT / Bot Traffic,critical,Bot traffic spike: IVT rate jumped from 4% to 48% in 72 hours.,Enabled IAS/MOAT pre-bid filtering across all DSP buys.,0.92
INC-2025-262,2025-02-28,google_pmax,Spend Surge,critical,Bot traffic spike on unknown placements drove up spend.,Added negative IP lists and enabled click fraud protection.,0.94
INC-2025-194,2025-03-02,meta_ads,Zero Conversions,critical,iOS 14.5 ATT rollout caused 48-hour reporting gap on conversions.,Implemented server-side event deduplication layer.,0.93
INC-2025-277,2025-03-18,meta_ads,Low CTR,medium,"iOS 17 link tracking stripping UTMs, inflating CPC in reporting.",Tested new emotional hook messaging aligned to active crisis.,0.76
INC-2025-249,2025-04-01,ooh,Low Impressions,medium,Digital OOH screen malfunctioned for 4 days.,Negotiated replacement locations with vendor.,0.88
INC-2025-297,2025-04-02,ooh,Low Impressions,critical,Digital OOH screen malfunctioned for 4 days.,Expanded geofence radius from 100m to 500m.,0.88
INC-2025-158,2025-04-05,meta_ads,Zero Conversions,high,Tracking pixel fell off checkout page after deployment #1204.,Generated new CAPI token and updated server config.,0.72
INC-2025-296,2025-04-06,tv,Reach Drop,high,Measurement lag from Nielsen reporting caused data gap.,Added geo verification layer to CTV buys.,0.83
INC-2025-246,2025-04-12,podcast,Low Engagement,high,Episode released on holiday weekend with low downloads.,Requested re-read/make-good for next episode.,0.76
INC-2025-171,2025-05-02,google_pmax,Spend Surge,high,Uncapped budget allowed PMax to spend 300% of daily average.,Excluded mobile app categories and gaming sites.,0.95
INC-2025-142,2025-05-03,influencer_campaigns,Fraud Alert,critical,Creator engagement rate 0.01% despite 1M followers.,Implemented Modash/HypeAuditor vetting before next hire.,0.88
INC-2025-187,2025-05-03,programmatic,IVT / Bot Traffic,critical,Invalid traffic from data center IPs in non-target geos.,Enabled IAS/MOAT pre-bid filtering across all DSP buys.,0.71
INC-2025-274,2025-05-10,google_pmax,Spend Surge,high,Uncapped budget allowed PMax to spend 300% of daily average.,Excluded mobile app categories and gaming sites.,0.87
INC-2025-299,2025-05-31,google_pmax,Spend Surge,high,Algorithm aggressively targeted mobile app placements.,Excluded mobile app categories and gaming sites.,0.74
INC-2025-177,2025-06-07,meta_ads,Budget Misallocation During Crisis,medium,Crisis donation audience excluded by mistake from campaign targeting.,Submitted MMM model retraining request with crisis period data.,0.73
INC-2025-213,2025-06-13,meta_ads,Zero Conversions,high,Tracking pixel fell off checkout page after deployment #1204.,Re-installed GTM container and added automated pixel monitoring.,0.78
INC-2025-113,2025-06-14,ooh,Low Impressions,medium,COVID lockdown: zero foot traffic at all OOH locations.,Shifted OOH budget to digital for duration of lockdown.,0.84
INC-2025-186,2025-06-19,meta_ads,Budget Misallocation During Crisis,critical,Budget auto-reallocation shifted funds away from best-performing crisis campaign.,Submitted account verification for fundraising allowlist.,0.84
INC-2025-178,2025-06-27,influencer_campaigns,Fraud Alert,critical,Creator's audience audit revealed 60% fake followers.,Blacklisted creator from future campaigns.,0.94
INC-2025-182,2025-07-01,programmatic,IVT / Bot Traffic,critical,Invalid traffic from data center IPs in non-target geos.,Added IP exclusion lists for known data center ranges.,0.79
INC-2025-253,2025-07-05,ooh,Low Impressions,high,Digital OOH screen malfunctioned for 4 days.,Shifted OOH budget to digital for duration of lockdown.,0.75
INC-2025-227,2025-07-06,google_pmax,Spend Surge,medium,Bot traffic spike on unknown placements drove up spend.,Added negative IP lists and enabled click fraud protection.,0.88
INC-2025-188,2025-07-19,influencer_campaigns,Fraud Alert,critical,Influencer disclosed paid partnership but not to platform's charity audience.,Required audience demographics report before contract signing.,0.87
INC-2025-260,2025-08-02,podcast,Low Engagement,high,Host read script was truncated during recording.,Shifted future ad buys to mid-week release schedules.,0.77
INC-2025-205,2025-08-06,affiliate,Conversion Drop,medium,Coupon code leakage to discount aggregator sites lowered AOV.,Implemented last-touch validation on all affiliate conversions.,0.93
INC-2025-251,2025-08-06,linkedin_ads,High CPL,medium,LinkedIn Audience Network delivering low-quality clicks.,Disabled Audience Network to focus on feed placements.,0.77
INC-2025-104,2025-08-24,influencer_campaigns,Fraud Alert,high,Creator's audience audit revealed 60% fake followers.,Implemented Modash/HypeAuditor vetting before next hire.,0.72
INC-2025-278,2025-08-24,google_pmax,Spend Surge,critical,PMax auto-expanded to low-quality Display inventory.,Added placement exclusions and tightened location settings.,0.87
INC-2025-302,2025-08-24,affiliate,Conversion Drop,medium,Top affiliate partner removed our link from their homepage.,Renegotiated placement fee with top partner.,0.81
INC-2025-162,2025-08-30,podcast,Low Engagement,critical,Host read script was truncated during recording.,Requested re-read/make-good for next episode.,0.89
INC-2025-258,2025-09-14,affiliate,Conversion Drop,critical,Fraudulent leads detected from new sub-affiliate network.,Invalidated leaked codes and issued exclusive partner links.,0.95
INC-2025-146,2025-10-05,google_pmax,Spend Surge,high,Algorithm aggressively targeted mobile app placements.,Excluded mobile app categories and gaming sites.,0.85
INC-2025-112,2025-10-29,podcast,Low Engagement,critical,Episode released on holiday weekend with low downloads.,Rotated to new podcast network with fresher audience.,0.79
INC-2025-216,2025-11-07,meta_ads,Low CTR,medium,"iOS 17 link tracking stripping UTMs, inflating CPC in reporting.",Tested new emotional hook messaging aligned to active crisis.,0.92
INC-2025-151,2025-11-23,tv,Reach Drop,medium,Primetime spots preempted by breaking news / crisis coverage.,Added geo verification layer to CTV buys.,0.93
INC-2025-259,2025-11-24,google_search,CPA Spike,medium,Election cycle political ad spending inflated CPMs across search.,Launched defensive brand campaign with aggressive Top IS target.,0.93
INC-2025-126,2025-11-26,tv,Reach Drop,high,Frequency cap issues on Connected TV (CTV) inventory.,Used spot logs for interim reporting while awaiting Nielsen.,0.71
INC-2025-201,2025-12-15,google_pmax,Spend Surge,high,Bot traffic spike on unknown placements drove up spend.,Added negative IP lists and enabled click fraud protection.,0.79
INC-2025-120,2025-12-25,affiliate,Conversion Drop,high,Fraudulent leads detected from new sub-affiliate network.,Renegotiated placement fee with top partner.,0.8
INC-2026-199,2026-01-03,google_pmax,Spend Surge,medium,Algorithm aggressively targeted mobile app placements.,Implemented strict daily spend caps and tROAS targets.,0.71
INC-2026-110,2026-01-26,google_pmax,Tracking Break During COVID,medium,Server migration during COVID lockdown caused 3-day tag firing failure.,Backfilled conversions using order database export.,0.81
INC-2026-147,2026-02-05,affiliate,Conversion Drop,critical,Fraudulent leads detected from new sub-affiliate network.,Voided commissions for fraudulent leads and blocked sub-ID.,0.9
INC-2026-265,2026-02-19,google_pmax,Spend Surge,high,Asset group rotation optimized for volume over value during crisis period.,Added negative IP lists and enabled click fraud protection.,0.8
INC-2026-204,2026-02-20,events,Events Channel Collapse,critical,Delta variant surge caused last-minute cancellations of 12 events.,Pivoted to virtual events (Zoom/Teams fundraising webinars).,0.88
